Flight_ID,Airline,Aircraft_Type,Aircraft_Age_Years,Flight_Phase,Departure_Airport_Code,Arrival_Airport_Code,Flight_Duration_Hours,Last_Maintenance_Hours,Engine_Hours_Since_Overhaul,Pilot_Experience_Hours,CoPilot_Experience_Hours,Number_of_Crew,Total_Onboard,Cargo_Weight_KG,Date,Time_UTC,Season,Visibility_KM,Wind_Speed_KNOTS,Wind_Direction_Degrees,Temperature_Celsius,Precipitation_MM,Weather_Condition,Turbulence_Severity,Departure_Airport_Elevation_FT,Arrival_Airport_Elevation_FT,Route_Complexity,Air_Traffic_Density,Accident,Accident_Severity,Fatalities,Injuries,Aircraft_Damage,Cause_Category
F202401250055,Star Air,Airbus A320,7,En_Route,ATQ,GAU,0.97,1884,7280,13952,2478,11,264,6521,2024-01-25,05:20,Summer,4.15,26,353,17.7,0.0,Cloudy,None,765,158,Multiple_Waypoints,Low,0,,0,0,,
F202007310056,Vistara,ATR 72,17,En_Route,BLR,ATQ,4.77,566,2940,7644,6232,4,93,9312,2020-07-31,15:18,Monsoon,3.36,25,210,16.6,5.21,Rain,Light,3000,765,Multiple_Waypoints,High,0,,0,0,,
F202412020057,Vistara,Airbus A321,13,Taxi,BLR,GAU,2.89,1001,2974,9186,520,10,341,5799,2024-12-02,04:49,Summer,5.47,37,276,34.4,0.0,Clear,Severe,3000,158,Direct,High,0,,0,0,,
F202311050058,Star Air,Dornier Do 228,9,Taxi,COK,ATQ,0.64,1560,1419,6747,5013,8,119,6413,2023-11-05,09:29,Summer,1.54,40,9,25.9,0.0,Cloudy,Light,30,765,Mountainous_Terrain,High,0,,0,0,,
F202107300059,Alliance Air,Boeing 787,4,Parked,COK,BLR,4.78,1864,3553,16443,11528,9,175,2363,2021-07-30,19:43,Monsoon,2.63,21,72,20.9,6.65,Thunderstorms,Severe,30,3000,Multiple_Waypoints,Low,0,,0,0,,
F202307040060,Air India,ATR 72,12,En_Route,BBI,IXB,3.49,757,6243,14488,7968,8,146,5150,2023-07-04,13:26,Monsoon,7.28,26,13,40.3,4.18,Cloudy,Light,85,412,Direct,Low,0,,0,0,,
F202101080061,SpiceJet,Embraer E190,12,Taxi,BBI,MAA,1.77,1958,2362,16906,3537,6,140,6658,2021-01-08,20:25,Summer,6.0,32,15,39.9,0.0,Cloudy,Moderate,85,33,Direct,High,0,,0,0,,
F202409200062,Vistara,ATR 72,22,Takeoff,CCU,PNQ,4.04,1194,3465,7585,4838,5,297,7561,2024-09-20,13:06,Monsoon,7.56,22,324,17.7,4.12,Thunderstorms,Severe,18,1863,Multiple_Waypoints,Low,0,,0,0,,
F202101090063,Air India,Embraer E190,25,En_Route,BOM,CCU,1.88,1074,5698,18645,4867,10,389,7821,2021-01-09,03:08,Summer,2.25,29,136,35.1,0.0,Cloudy,Severe,39,18,Multiple_Waypoints,High,0,,0,0,,
F202008210064,FlyBig,Airbus A321,18,Landing,DEL,MAA,2.85,1917,2360,3859,631,11,301,6416,2020-08-21,04:24,Monsoon,3.28,6,340,40.8,2.32,Cloudy,None,777,33,Direct,Low,0,,0,0,,
F202204260065,SpiceJet,Boeing 737,21,Parked,DEL,ATQ,3.82,1199,7743,4294,947,5,169,2090,2022-04-26,12:32,Summer,1.86,6,237,25.7,0.0,Clear,None,777,765,Mountainous_Terrain,High,0,,0,0,,
F202402130066,Air India,Boeing 737,9,Parked,IXB,GOI,4.78,616,579,18069,12791,11,162,9984,2024-02-13,07:54,Summer,7.59,7,252,42.1,0.0,Clear,None,412,189,Mountainous_Terrain,Low,0,,0,0,,
F202506100067,Vistara,ATR 72,16,En_Route,BLR,IXB,2.51,437,7884,12492,11608,7,389,3804,2025-06-10,01:59,Monsoon,9.92,23,262,12.9,8.57,Rain,Moderate,3000,412,Direct,Medium,0,,0,0,,
F202212140068,Vistara,Airbus A320,22,En_Route,PNQ,BBI,2.72,1789,5173,9162,2724,6,191,5934,2022-12-14,14:32,Summer,3.54,4,121,31.8,0.0,Clear,Severe,1863,85,Mountainous_Terrain,High,0,,0,0,,
F202009270069,Star Air,Embraer E190,22,Parked,GAU,ATQ,0.76,1878,5634,19892,16855,8,184,6568,2020-09-27,15:52,Monsoon,9.57,17,64,19.4,7.06,Rain,Severe,158,765,Multiple_Waypoints,Low,0,,0,0,,
F202010100070,FlyBig,Airbus A321,9,En_Route,GAU,COK,0.99,764,3588,16672,3941,4,137,4593,2020-10-10,16:54,Summer,5.81,2,61,30.6,0.0,Clear,Moderate,158,30,Direct,High,0,,0,0,,
F202201310071,IndiGo,Airbus A320,12,Taxi,MAA,DEL,3.79,910,7299,5685,2273,9,90,2224,2022-01-31,17:36,Summer,7.86,11,256,16.6,0.0,Cloudy,None,33,777,Mountainous_Terrain,Medium,0,,0,0,,
F202102110072,Star Air,Dornier Do 228,15,Landing,AMD,HYD,3.45,1096,6578,1356,792,8,180,6572,2021-02-11,12:12,Summer,5.84,22,241,32.4,0.0,Clear,None,192,2024,Mountainous_Terrain,Low,0,,0,0,,
F202104100073,Star Air,Airbus A321,23,Takeoff,GAU,COK,4.93,1316,3775,12274,2193,10,73,3704,2021-04-10,22:00,Summer,0.72,17,99,10.7,0.0,Cloudy,None,158,30,Multiple_Waypoints,Medium,0,,0,0,,
F202204270074,Air India,Airbus A320,14,Taxi,DEL,BBI,3.65,186,7218,15663,10665,7,195,4046,2022-04-27,15:07,Summer,0.8,37,195,27.4,0.0,Clear,Moderate,777,85,Direct,High,0,,0,0,,
F202504170075,Star Air,Boeing 787,8,Takeoff,IXB,ATQ,2.07,653,4479,11986,5009,7,286,3392,2025-04-17,15:18,Summer,2.07,25,158,17.8,0.0,Cloudy,Severe,412,765,Mountainous_Terrain,Medium,0,,0,0,,
F202108070076,Akasa Air,Airbus A321,19,Parked,BOM,IXB,1.45,302,7643,10752,6086,10,112,5383,2021-08-07,04:53,Monsoon,2.62,36,344,28.6,10.14,Thunderstorms,Moderate,39,412,Mountainous_Terrain,High,0,,0,0,,
F202505200077,Alliance Air,Airbus A321,2,En_Route,MAA,HYD,2.64,275,2619,12237,6781,8,365,5481,2025-05-20,22:44,Summer,5.89,20,125,22.4,0.0,Dust_Storm,Moderate,33,2024,Multiple_Waypoints,Medium,0,,0,0,,
F202206170078,FlyBig,Airbus A321,19,Parked,BLR,BBI,2.24,1390,5658,16475,2196,8,326,3408,2022-06-17,23:05,Monsoon,2.62,30,114,24.2,9.57,Rain,Moderate,3000,85,Direct,Low,0,,0,0,,
F202411170079,IndiGo,Boeing 787,1,Takeoff,DEL,BLR,2.59,1152,6999,4628,521,9,272,9848,2024-11-17,13:53,Summer,7.39,39,178,11.7,0.0,Clear,Light,777,3000,Direct,Medium,0,,0,0,,
F202302250080,Star Air,Airbus A320,15,Takeoff,BLR,CCU,3.18,1056,3519,13555,6166,12,285,6887,2023-02-25,22:03,Summer,5.17,27,243,11.6,0.0,Clear,Moderate,3000,18,Direct,High,0,,0,0,,
F202203080081,Alliance Air,Embraer E190,20,Landing,BBI,HYD,4.09,1252,3581,4181,782,6,396,8058,2022-03-08,00:13,Summer,7.94,37,257,13.0,0.0,Clear,Severe,85,2024,Multiple_Waypoints,Medium,0,,0,0,,
F202505010082,SpiceJet,Boeing 787,15,Parked,DEL,BLR,2.77,1447,7833,13843,11565,7,57,2909,2025-05-01,01:53,Summer,2.11,28,206,34.2,0.0,Cloudy,Light,777,3000,Multiple_Waypoints,Low,0,,0,0,,
F202204240083,Star Air,Airbus A321,13,Takeoff,MAA,GOI,2.86,1513,6290,18566,17226,12,163,6178,2022-04-24,19:47,Summer,5.81,38,135,25.8,0.0,Clear,Moderate,33,189,Direct,High,0,,0,0,,
F202404080084,Alliance Air,Airbus A321,25,Taxi,HYD,GAU,3.18,1924,6774,13460,633,11,376,5655,2024-04-08,23:58,Summer,5.83,13,5,41.1,0.0,Clear,Severe,2024,158,Mountainous_Terrain,Medium,0,,0,0,,
F202008070085,FlyBig,Airbus A320,3,Landing,AMD,GAU,3.02,1465,1060,9030,2600,5,70,6101,2020-08-07,18:27,Monsoon,7.99,33,247,21.0,11.61,Cloudy,None,192,158,Multiple_Waypoints,High,0,,0,0,,
F202311130086,Air India,Boeing 787,13,Parked,COK,DEL,4.25,786,1090,2155,968,6,123,7516,2023-11-13,09:53,Summer,3.2,18,148,12.0,0.0,Clear,Moderate,30,777,Multiple_Waypoints,High,1,Minor_Incident,0,5,Destroyed,Weather
F202303130087,Star Air,Boeing 787,23,Taxi,ATQ,AMD,4.65,401,2927,1467,915,12,328,9422,2023-03-13,15:40,Summer,7.48,9,22,44.5,0.0,Clear,Severe,765,192,Direct,Medium,0,,0,0,,
F202412310088,Star Air,Dornier Do 228,24,En_Route,BLR,ATQ,0.82,788,6455,9797,1593,10,182,9632,2024-12-31,22:23,Summer,7.66,34,290,21.9,0.0,Clear,None,3000,765,Multiple_Waypoints,Low,0,,0,0,,
F202504300089,SpiceJet,Airbus A320,23,Landing,DEL,COK,4.44,974,1861,14248,8259,9,211,9297,2025-04-30,08:47,Summer,6.02,35,45,38.8,0.0,Clear,Moderate,777,30,Multiple_Waypoints,Low,0,,0,0,,
F202308250090,Air India,ATR 72,22,Parked,CCU,ATQ,0.82,1858,4771,14237,4270,5,210,2283,2023-08-25,00:29,Monsoon,3.43,12,287,36.8,0.86,Rain,None,18,765,Multiple_Waypoints,Low,0,,0,0,,
F202201040091,Alliance Air,Boeing 737,20,Parked,BOM,AMD,3.72,502,7712,12330,5774,9,398,3190,2022-01-04,07:49,Summer,6.25,29,304,17.8,0.0,Clear,Moderate,39,192,Direct,Medium,0,,0,0,,
F202204050092,Star Air,ATR 72,15,Taxi,IXB,COK,1.76,1494,4557,4303,1552,12,107,4797,2022-04-05,19:06,Summer,8.17,20,70,29.5,0.0,Dust_Storm,Moderate,412,30,Multiple_Waypoints,Medium,0,,0,0,,
F202312110093,Alliance Air,Embraer E190,17,Parked,BLR,HYD,3.66,1480,5855,10307,8231,10,173,9261,2023-12-11,23:56,Summer,1.39,39,312,19.9,0.0,Cloudy,Light,3000,2024,Direct,Low,0,,0,0,,
F202303010094,Star Air,Boeing 787,16,En_Route,CCU,ATQ,1.88,819,3984,13472,9993,5,320,4205,2023-03-01,14:29,Summer,3.83,32,329,18.3,0.0,Clear,None,18,765,Mountainous_Terrain,High,0,,0,0,,
F202312090095,Vistara,Boeing 787,8,Taxi,GOI,BLR,3.11,1638,2735,17105,10988,11,370,3796,2023-12-09,17:32,Summer,7.72,16,25,14.2,0.0,Clear,None,189,3000,Mountainous_Terrain,Low,0,,0,0,,
F202507070096,Akasa Air,Dornier Do 228,17,En_Route,BBI,DEL,2.51,660,6062,13947,6015,12,243,3844,2025-07-07,07:40,Monsoon,5.07,11,19,37.0,6.3,Cloudy,None,85,777,Direct,Medium,0,,0,0,,
F202309300097,FlyBig,Airbus A321,10,Taxi,MAA,ATQ,2.7,1079,4171,11581,5633,12,172,968,2023-09-30,02:51,Monsoon,2.65,33,311,29.9,13.63,Cloudy,None,33,765,Mountainous_Terrain,Medium,0,,0,0,,
F202104010098,SpiceJet,Boeing 737,4,Landing,GOI,CCU,2.72,1959,5588,17586,16752,7,177,2669,2021-04-01,10:56,Summer,3.08,4,50,24.2,0.0,Cloudy,Moderate,189,18,Mountainous_Terrain,Medium,0,,0,0,,
F202309010099,Air India,Airbus A320,15,Landing,COK,CCU,3.06,1785,1405,17424,7006,6,365,34,2023-09-01,23:47,Monsoon,2.26,34,278,22.7,1.02,Cloudy,Light,30,18,Direct,Medium,0,,0,0,,
F202206080100,Air India,Airbus A320,21,Taxi,MAA,AMD,0.66,1216,4138,11163,3460,8,176,6697,2022-06-08,05:55,Monsoon,0.97,37,64,44.8,14.34,Cloudy,Severe,33,192,Mountainous_Terrain,High,0,,0,0,,
F202211150101,FlyBig,Dornier Do 228,5,Parked,BBI,BOM,1.21,903,1790,3525,502,9,336,3873,2022-11-15,16:29,Summer,2.32,12,181,35.9,0.0,Clear,Moderate,85,39,Multiple_Waypoints,High,1,Minor_Incident,0,3,Minor,Weather
F202411220102,FlyBig,Boeing 737,16,Taxi,MAA,IXB,3.39,1271,4697,15455,14876,12,111,8332,2024-11-22,06:43,Summer,2.92,32,296,14.0,0.0,Clear,None,33,412,Mountainous_Terrain,Low,0,,0,0,,
F202206190103,Vistara,Airbus A320,21,Taxi,HYD,BOM,2.03,889,4206,2723,945,11,323,6215,2022-06-19,01:10,Monsoon,5.19,3,160,12.2,4.19,Rain,Light,2024,39,Multiple_Waypoints,Medium,0,,0,0,,
F202111200104,Air India,Boeing 787,17,En_Route,BBI,ATQ,0.58,547,4439,2379,558,11,327,4581,2021-11-20,08:30,Summer,7.51,22,35,33.3,0.0,Clear,Moderate,85,765,Multiple_Waypoints,Low,0,,0,0,,
F202408050105,Vistara,ATR 72,8,Landing,BOM,BBI,1.69,1154,3976,15969,2782,11,125,8370,2024-08-05,17:31,Monsoon,1.07,6,118,19.8,0.79,Rain,None,39,85,Mountainous_Terrain,Low,0,,0,0,,
F202401040106,Alliance Air,ATR 72,2,Takeoff,BBI,DEL,0.97,211,4645,9654,2417,4,207,1853,2024-01-04,17:52,Summer,8.06,5,100,21.8,0.0,Cloudy,None,85,777,Mountainous_Terrain,Medium,0,,0,0,,
F202312260107,Akasa Air,Airbus A321,11,En_Route,BOM,AMD,1.28,885,3256,11042,3508,4,382,723,2023-12-26,20:27,Summer,9.83,25,277,16.6,0.0,Clear,Light,39,192,Direct,Medium,0,,0,0,,
F202009150108,Star Air,Boeing 787,18,Takeoff,BOM,HYD,2.51,1995,3798,8310,3071,11,218,8868,2020-09-15,11:18,Monsoon,0.67,33,355,17.3,13.38,Rain,None,39,2024,Mountainous_Terrain,Low,0,,0,0,,
F202103030109,Akasa Air,Airbus A321,1,Parked,ATQ,GOI,3.21,1831,6299,7662,1285,8,132,8861,2021-03-03,21:46,Summer,3.32,31,318,20.4,0.0,Clear,Light,765,189,Multiple_Waypoints,Low,0,,0,0,,
